"Date","Price","Open","High","Low","Change %"
"Oct 28, 2012","2.0316","2.0278","2.0352","2.0272","0.23%"
"Oct 21, 2012","2.0270","2.0274","2.0313","2.0230","-0.03%"
"Oct 14, 2012","2.0277","2.0439","2.0439","2.0252","-0.82%"
"Oct 07, 2012","2.0445","2.0323","2.0445","2.0278","0.66%"
"Sep 30, 2012","2.0310","2.0292","2.0345","2.0164","0.26%"
"Sep 23, 2012","2.0257","2.0231","2.0372","2.0227","0.16%"
"Sep 16, 2012","2.0225","2.0127","2.0368","2.0127","0.53%"
"Sep 09, 2012","2.0119","2.0286","2.0312","2.0065","-0.80%"
"Sep 02, 2012","2.0281","2.0302","2.0455","2.0271","-0.06%"
"Aug 26, 2012","2.0293","2.0256","2.0575","2.0236","0.11%"
"Aug 19, 2012","2.0271","2.0160","2.0360","2.0052","0.58%"
"Aug 12, 2012","2.0155","2.0157","2.0310","2.0140","0.03%"
"Aug 05, 2012","2.0149","2.0299","2.0362","2.0128","-0.66%"
"Jul 29, 2012","2.0282","2.0210","2.0570","2.0210","0.35%"
"Jul 22, 2012","2.0212","2.0229","2.0521","2.0079","-0.12%"
"Jul 15, 2012","2.0236","2.0357","2.0434","2.0092","-0.66%"
"Jul 08, 2012","2.0370","2.0260","2.0519","2.0227","0.44%"
"Jul 01, 2012","2.0281","2.0054","2.0416","1.9778","0.93%"
"Jun 24, 2012","2.0095","2.0667","2.0991","2.0042","-2.81%"
"Jun 17, 2012","2.0675","2.0445","2.0690","2.0217","0.93%"
"Jun 10, 2012","2.0484","2.0202","2.0751","2.0148","1.34%"
"Jun 03, 2012","2.0213","2.0404","2.0627","2.0118","-0.92%"
"May 27, 2012","2.0400","1.9827","2.0502","1.9699","2.79%"
"May 20, 2012","1.9846","2.0208","2.1062","1.9827","-1.93%"
"May 13, 2012","2.0237","1.9668","2.0588","1.9668","2.93%"
"May 06, 2012","1.9660","1.9272","1.9726","1.9184","2.00%"
"Apr 29, 2012","1.9275","1.8893","1.9367","1.8829","2.20%"
"Apr 22, 2012","1.8861","1.8762","1.8914","1.8725","0.73%"
"Apr 15, 2012","1.8724","1.8375","1.8942","1.8314","1.92%"
"Apr 08, 2012","1.8372","1.8260","1.8436","1.8153","0.87%"
"Apr 01, 2012","1.8214","1.8260","1.8358","1.8188","-0.27%"
"Mar 25, 2012","1.8264","1.8112","1.8375","1.8039","0.87%"
"Mar 18, 2012","1.8106","1.8033","1.8354","1.8013","0.57%"
"Mar 11, 2012","1.8003","1.7904","1.8327","1.7849","0.50%"
"Mar 04, 2012","1.7914","1.7301","1.7958","1.7249","3.48%"
"Feb 26, 2012","1.7311","1.7095","1.7364","1.6870","1.27%"
"Feb 19, 2012","1.7094","1.7176","1.7176","1.6959","-0.33%"
"Feb 12, 2012","1.7150","1.7225","1.7380","1.7095","-0.34%"
"Feb 05, 2012","1.7208","1.7184","1.7350","1.7120","0.27%"
"Jan 29, 2012","1.7161","1.7461","1.7573","1.7131","-1.23%"
"Jan 22, 2012","1.7374","1.7557","1.7692","1.7315","-0.99%"
"Jan 15, 2012","1.7548","1.7862","1.7893","1.7547","-1.69%"
"Jan 08, 2012","1.7849","1.8563","1.8569","1.7684","-3.93%"
"Jan 01, 2012","1.8579","1.8661","1.8750","1.8195","-0.28%"
