"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 10, 2019","93.85","93.85","93.85","93.85","0.07K","-1.78%"
"Mar 03, 2019","95.55","97.60","98.00","95.60","0.44K","-1.49%"
"Feb 24, 2019","97.00","93.50","93.50","93.50","0.46K","2.05%"
"Feb 17, 2019","95.05","95.05","95.05","95.05","0.05K","0.21%"
"Feb 10, 2019","94.85","95.50","95.50","95.50","0.02K","-2.42%"
"Feb 03, 2019","97.20","98.00","98.60","97.70","0.37K","-1.17%"
"Jan 27, 2019","98.35","99.00","99.10","98.50","0.33K","-0.41%"
"Jan 20, 2019","98.75","98.75","98.75","98.75","0.01K","-1.00%"
"Jan 13, 2019","99.75","99.75","99.75","99.75","0.21K","1.73%"
"Jan 06, 2019","98.05","98.05","98.05","98.05","0.36K","-1.46%"
"Dec 30, 2018","99.50","99.50","99.50","99.50","0.25K","-2.36%"
"Dec 23, 2018","101.90","101.90","101.90","101.90","0.01K","0.20%"
"Dec 16, 2018","101.70","102.00","102.00","101.60","0.01K","-0.59%"
"Dec 09, 2018","102.30","102.20","102.20","102.20","0.08K","-0.24%"
"Dec 02, 2018","102.55","102.55","102.55","102.55","0.03K","0.84%"
"Nov 25, 2018","101.70","101.70","101.70","101.70","0.00K","-0.05%"
"Nov 18, 2018","101.75","101.75","101.75","101.75","0.01K","-0.73%"
"Nov 11, 2018","102.50","102.50","102.50","102.50","0.03K","-3.21%"
"Nov 04, 2018","105.90","105.25","105.75","105.25","0.10K","2.42%"
"Oct 28, 2018","103.40","104.00","104.00","103.50","0.45K","-5.70%"
"Oct 21, 2018","109.65","109.65","109.65","109.65","0.01K","-0.32%"
"Oct 14, 2018","110.00","110.00","110.00","110.00","0.02K","0.73%"
"Oct 07, 2018","109.20","109.20","109.20","109.20","0.10K","-3.92%"
"Sep 30, 2018","113.65","114.00","114.00","114.00","0.20K","-0.18%"
"Sep 23, 2018","113.85","113.85","113.85","113.85","0.01K","0.35%"
"Sep 16, 2018","113.45","113.45","113.45","113.45","0.04K","-1.69%"
"Sep 09, 2018","115.40","115.00","115.25","115.00","0.09K","0.74%"
"Sep 02, 2018","114.55","114.90","115.00","114.75","0.21K","-2.92%"
"Aug 26, 2018","118.00","118.00","118.00","118.00","0.02K","0.08%"
"Aug 19, 2018","117.90","117.90","117.90","117.90","0.01K","-0.08%"
"Aug 12, 2018","118.00","118.40","118.40","118.40","0.08K","1.16%"
"Aug 05, 2018","116.65","116.50","116.50","116.00","0.22K","-0.68%"
"Jul 29, 2018","117.45","115.20","118.10","115.20","0.24K","-2.04%"
"Jul 22, 2018","119.90","119.90","119.90","119.90","0.02K","1.87%"
"Jul 15, 2018","117.70","117.70","117.70","117.70","0.07K","0.00%"
"Jul 08, 2018","117.70","117.70","117.70","117.70","0.12K","1.38%"
"Jul 01, 2018","116.10","115.70","116.20","115.70","0.47K","1.49%"
"Jun 24, 2018","114.40","114.40","114.40","114.40","0.00K","0.31%"
"Jun 17, 2018","114.05","114.05","114.05","114.05","0.01K","-0.83%"
"Jun 10, 2018","115.00","116.00","116.00","116.00","0.16K","1.01%"
"Jun 03, 2018","113.85","112.85","114.00","112.50","0.19K","2.52%"
"May 27, 2018","111.05","106.75","112.50","106.65","0.14K","5.31%"
"May 20, 2018","105.45","105.45","105.45","105.45","0.07K","1.05%"
"May 13, 2018","104.35","104.35","104.35","104.35","0.01K","2.56%"
"May 06, 2018","101.75","101.75","101.75","101.75","0.12K","1.19%"
"Apr 29, 2018","100.55","101.45","101.45","101.30","0.33K","7.37%"
"Apr 22, 2018","93.65","93.30","93.30","93.30","0.03K","0.21%"
"Apr 15, 2018","93.45","92.70","92.70","92.70","0.28K","0.05%"
"Apr 08, 2018","93.40","93.40","93.40","93.40","0.37K","-0.53%"
"Apr 01, 2018","93.90","93.40","93.40","93.25","0.56K","-2.59%"
"Mar 25, 2018","96.40","96.40","96.40","96.40","0.04K","-0.36%"
"Mar 18, 2018","96.75","96.90","96.90","96.90","0.07K","-0.41%"
"Mar 11, 2018","97.15","99.00","99.00","97.00","0.16K","-2.26%"
"Mar 04, 2018","99.40","101.00","101.00","100.00","0.09K","-3.40%"
"Feb 25, 2018","102.90","107.15","107.15","103.00","0.14K","-2.09%"
"Feb 18, 2018","105.10","105.10","105.10","105.10","0.02K","0.38%"
"Feb 11, 2018","104.70","104.70","104.70","104.70","0.13K","3.51%"
"Feb 04, 2018","101.15","104.40","104.40","104.40","0.21K","-3.44%"
"Jan 28, 2018","104.75","109.00","109.65","107.75","0.17K","-1.64%"
"Jan 21, 2018","106.50","106.50","106.50","106.50","0.06K","-0.23%"
"Jan 14, 2018","106.75","107.00","107.05","106.55","0.14K","0.85%"
"Jan 07, 2018","105.85","105.90","107.00","105.90","0.16K","0.52%"
"Dec 31, 2017","105.30","105.00","105.50","105.00","0.22K","4.46%"
"Dec 24, 2017","100.80","100.80","100.80","100.80","0.01K","0.60%"
"Dec 17, 2017","100.20","100.20","100.20","100.20","0.06K","0.20%"
"Dec 10, 2017","100.00","100.00","100.00","100.00","0.03K","2.51%"
"Dec 03, 2017","97.55","97.70","97.70","97.70","0.01K","0.62%"
"Nov 26, 2017","96.95","96.00","97.00","96.00","0.07K","0.41%"
"Nov 19, 2017","96.55","96.55","96.55","96.55","0.12K","0.00%"
"Nov 12, 2017","96.55","96.55","96.55","96.55","0.01K","-1.13%"
"Nov 05, 2017","97.65","97.65","97.65","97.65","0.01K","-1.36%"
"Oct 29, 2017","99.00","98.75","99.50","98.75","0.19K","1.59%"
"Oct 22, 2017","97.45","96.50","96.50","96.50","0.00K","0.31%"
"Oct 15, 2017","97.15","97.15","97.15","97.15","0.02K","1.46%"
"Oct 08, 2017","95.75","95.75","95.75","95.75","0.11K","-1.64%"
"Oct 01, 2017","97.35","97.00","98.40","97.00","0.25K","0.10%"
"Sep 24, 2017","97.25","97.25","97.25","97.25","0.16K","0.05%"
"Sep 17, 2017","97.20","97.20","97.20","97.20","0.07K","-2.02%"
"Sep 10, 2017","99.20","101.00","101.00","101.00","0.06K","0.76%"
"Sep 03, 2017","98.45","96.50","98.00","96.50","0.09K","2.77%"
"Aug 27, 2017","95.80","95.80","95.80","95.80","0.17K","-2.84%"
"Aug 20, 2017","98.60","98.60","98.60","98.60","0.03K","0.31%"
"Aug 13, 2017","98.30","98.30","98.30","98.30","0.01K","2.61%"
"Aug 06, 2017","95.80","95.80","95.80","95.80","0.03K","0.47%"
"Jul 30, 2017","95.35","91.75","94.00","91.75","0.16K","9.35%"
"Jul 23, 2017","87.20","87.20","87.20","87.20","0.01K","0.87%"
"Jul 16, 2017","86.45","86.45","86.45","86.45","0.19K","2.98%"
"Jul 09, 2017","83.95","83.95","83.95","83.95","0.35K","1.70%"
"Jul 02, 2017","82.55","82.55","82.55","82.55","0.43K","1.91%"
"Jun 25, 2017","81.00","81.00","81.00","81.00","0.10K","0.43%"
"Jun 18, 2017","80.65","80.65","80.65","80.65","0.10K","-0.25%"
"Jun 11, 2017","80.85","80.85","80.85","80.85","0.04K","1.76%"
"Jun 04, 2017","79.45","78.00","78.00","78.00","0.21K","4.54%"
"May 28, 2017","76.00","74.00","74.00","74.00","0.13K","2.08%"
"May 21, 2017","74.45","74.65","74.65","74.65","0.06K","0.27%"
"May 14, 2017","74.25","74.25","74.25","74.25","0.14K","0.88%"
"May 07, 2017","73.60","73.60","73.60","73.60","0.09K","-5.64%"
